Product code,Nominal Size (mm),Actual Size (mm),Airflow Capacity (L/sec),Initial Resistance (Pa),Filter Classification
80011210,254 x 254 x 25,241 x 241 x 22,164,90,G4
80011200,254 x 508 x 25,241 x 495 x 22,328,90,G4
80011203,305 x 305 x 25,292 x 292 x 22,246,90,G4
80011204,305 x 610 x 25,292 x 594 x 22,492,90,G4
80011230,356 x 356 x 25,343 x 343 x 22,324,90,G4
80011425,356 x 635 x 25,343 x 622 x 22,572,90,G4
80011520,381 x 508 x 25,368 x 495 x 22,492,90,G4
80011620,406 x 508 x 25,394 x 495 x 22,525,90,G4
80011624,406 x 610 x 25,394 x 594 x 22,628,90,G4
80011625,457 x 457 x 25,445 x 445 x 22,525,90,G4
80011824,457 x 610 x 25,445 x 594 x 22,708,90,G4
80011825,457 x 635 x 25,445 x 622 x 22,735,90,G4
80012020,508 x 508 x 25,495 x 495 x 22,655,90,G4
80012024,508 x 610 x 25,495 x 594 x 22,785,90,G4
80012025,508 x 635 x 25,495 x 622 x 22,819,90,G4
80012424,610 x 610 x 25,594 x 594 x 22,944,90,G4
80012525,635 x 635 x 25,622 x 622 x 22,1005,90,G4
80021210,254 x 254 x 50,241 x 241 x 44,164,51,G4
80021200,254 x 508 x 50,241 x 495 x 44,328,51,G4
80021203,305 x 305 x 50,292 x 292 x 44,246,51,G4
80021204,305 x 610 x 50,292 x 594 x 44,492,51,G4
80021230,356 x 356 x 50,343 x 343 x 44,324,51,G4
80021425,356 x 635 x 50,343 x 622 x 44,572,51,G4
80021520,381 x 508 x 50,368 x 495 x 44,492,51,G4
80021620,406 x 508 x 50,394 x 495 x 44,525,51,G4
80021616,406 x 406 x 50,394 x 394 x 44,419,51,G4
80021624,406 x 610 x 50,394 x 594 x 44,628,51,G4
80021625,457 x 457 x 50,445 x 445 x 44,525,51,G4
80021824,457 x 610 x 50,445 x 594 x 44,708,51,G4
80021825,457 x 635 x 50,445 x 622 x 44,735,51,G4
80022020,508 x 508 x 50,495 x 495 x 44,655,51,G4
80022024,508 x 610 x 50,495 x 594 x 44,785,51,G4
80022025,508 x 635 x 50,495 x 622 x 44,819,51,G4
80022424,610 x 610 x 50,594 x 594 x 44,944,51,G4
80022525,635 x 635 x 50,622 x 622 x 44,1005,51,G4
80041211,254 x 530 x 100,241 x 515 x 95,342,40,G4
80041212,305 x 305 x 100,292 x 292 x 95,328,40,G4
80041204,305 x 610 x 100,292 x 594 x 95,472,40,G4
80041620,406 x 508 x 100,394 x 495 x 95,525,40,G4
80041625,406 x 635 x 100,394 x 622 x 95,589,40,G4
80041820,457 x 508 x 100,445 x 495 x 95,589,40,G4
80041824,457 x 610 x 100,445 x 594 x 95,708,40,G4
80042020,508 x 508 x 100,495 x 495 x 95,655,40,G4
80042024,508 x 610 x 100,495 x 594 x 95,785,40,G4
80042424,610 x 610 x 100,595 x 749 x 95,944,40,G4
80042529,635 x 730 x 100,622 x 724 x 95,1186,40,G4
80042830,711 x 762 x 100,698 x 749 x 95,1375,40,G4
